id,repo,target_file,kind,signature,base_status,base_compiles,base_files,base_secs,base_hash,new_status,new_compiles,new_files,new_secs,new_hash
junit4-0053,junit4,org/junit/rules/DisableOnDebug.java,field,"org.junit.rules.DisableOnDebug#rule",ok,compiles,2,5.0,4b27fbcb0d63,ok,compiles,2,5.2,4b27fbcb0d63
junit4-0054,junit4,org/junit/runners/MethodSorters.java,field,"org.junit.runners.MethodSorters#comparator",ok,compiles,1,4.2,f45a5529b140,ok,compiles,1,4.7,f45a5529b140
junit4-0055,junit4,junit/framework/JUnit4TestCaseFacade.java,method,"junit.framework.JUnit4TestCaseFacade#getDescription()",ok,compiles,4,5.3,b33b10aa6fe8,ok,compiles,4,4.4,b33b10aa6fe8
junit4-0056,junit4,junit/framework/TestCase.java,method,"junit.framework.TestCase#assertEquals(double,double,double)",ok,compiles,3,5.8,b170b969b491,ok,compiles,3,4.8,b170b969b491
junit4-0057,junit4,org/junit/rules/TemporaryFolder.java,method,"org.junit.rules.TemporaryFolder#TemporaryFolder(File)",ok,compiles,3,5.5,0c3defba1374,ok,compiles,3,4.4,0c3defba1374
junit4-0058,junit4,org/junit/internal/runners/model/EachTestNotifier.java,method,"org.junit.internal.runners.model.EachTestNotifier#fireTestStarted()",ok,compiles,4,4.8,dde80efb58e4,ok,compiles,4,5.4,dde80efb58e4
junit4-0059,junit4,org/junit/runner/notification/SynchronizedRunListener.java,method,"org.junit.runner.notification.SynchronizedRunListener#testSuiteFinished(Description)",ok,compiles,3,5.0,24d7b7265fb5,ok,compiles,3,5.9,24d7b7265fb5
junit4-0060,junit4,org/junit/experimental/theories/Theories.java,method,"org.junit.experimental.theories.Theories#validateTestMethods(List<Throwable>)",ok,compiles,15,6.8,0b1c05e69be9,ok,compiles,15,6.9,0b1c05e69be9
junit4-0061,junit4,junit/framework/Assert.java,method,"junit.framework.Assert#assertNotSame(Object,Object)",ok,compiles,1,5.4,c00446d4f608,ok,compiles,1,5.4,c00446d4f608
junit4-0062,junit4,org/junit/internal/runners/model/ReflectiveCallable.java,method,"org.junit.internal.runners.model.ReflectiveCallable#run()",ok,compiles,1,5.8,fa4ee33d6c3f,ok,compiles,1,5.1,fa4ee33d6c3f
junit4-0063,junit4,junit/framework/Assert.java,method,"junit.framework.Assert#assertEquals(float,float,float)",ok,compiles,1,5.4,831557db5e47,ok,compiles,1,4.7,831557db5e47
junit4-0064,junit4,org/junit/internal/matchers/TypeSafeMatcher.java,method,"org.junit.internal.matchers.TypeSafeMatcher#matchesSafely(T)",ok,compiles,2,5.1,476b0a1647d1,ok,compiles,2,5.0,476b0a1647d1
junit4-0065,junit4,org/junit/rules/Timeout.java,method,"org.junit.rules.Timeout.Builder#withLookingForStuckThread(boolean)",ok,compiles,2,5.0,9dd7e916d378,ok,compiles,2,5.0,9dd7e916d378
junit4-0066,junit4,org/junit/experimental/results/PrintableResult.java,method,"org.junit.experimental.results.PrintableResult#testResult(Class<?>)",ok,compiles,2,5.2,c5a1bf744246,ok,compiles,2,5.5,c5a1bf744246
junit4-0067,junit4,org/junit/internal/runners/model/EachTestNotifier.java,method,"org.junit.internal.runners.model.EachTestNotifier#addMultipleFailureException(MultipleFailureException)",ok,compiles,2,5.4,d72f17f66b88,ok,compiles,2,6.3,d72f17f66b88
junit4-0068,junit4,org/junit/experimental/ParallelComputer.java,field,"org.junit.experimental.ParallelComputer#classes",ok,compiles,2,4.7,44cec46313eb,ok,compiles,2,5.5,44cec46313eb
junit4-0069,junit4,org/junit/internal/matchers/StacktracePrintingMatcher.java,method,"org.junit.internal.matchers.StacktracePrintingMatcher#describeTo(Description)",ok,compiles,5,5.1,31855905dbf8,ok,compiles,5,6.1,31855905dbf8
junit4-0070,junit4,org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters.java,method,"org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParameters#BlockJUnit4ClassRunnerWithParameters(TestWithParameters)",ok,compiles,14,6.1,213d4e8bf814,ok,compiles,14,5.8,213d4e8bf814
junit4-0071,junit4,org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters.java,method,"org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParameters#validateConstructor(List<Throwable>)",ok,compiles,11,6.4,e3925a2bfe8d,ok,compiles,11,6.0,e3925a2bfe8d
junit4-0072,junit4,org/junit/internal/ComparisonCriteria.java,method,"org.junit.internal.ComparisonCriteria#arrayEquals(String,Object,Object)",ok,compiles,2,4.9,832d9bb18163,ok,compiles,2,5.0,832d9bb18163
junit4-0073,junit4,org/junit/runner/Request.java,method,"org.junit.runner.Request#classWithoutSuiteMethod(Class<?>)",ok,compiles,3,5.4,4fd91398eee0,ok,compiles,3,5.2,4fd91398eee0
junit4-0074,junit4,org/junit/Assert.java,method,"org.junit.Assert#equalsRegardingNull(Object,Object)",ok,compiles,1,4.8,88e6905619ce,ok,compiles,1,5.3,88e6905619ce
