id,repo,target_file,kind,signature,base_status,base_compiles,base_files,base_secs,new_status,new_compiles,new_files,new_secs
checkstyle-0091,checkstyle,com/puppycrawl/tools/checkstyle/ant/CheckstyleAntTask.java,method,"com.puppycrawl.tools.checkstyle.ant.CheckstyleAntTask.Property#setValue(String)",ok,compiles,2,12.2,ok,compiles,2,12.7
checkstyle-0092,checkstyle,com/puppycrawl/tools/checkstyle/XpathFileGeneratorAuditListener.java,method,"com.puppycrawl.tools.checkstyle.XpathFileGeneratorAuditListener#fileFinished(AuditEvent)",crash,na,0,11.2,crash,na,0,12.3
checkstyle-0093,checkstyle,com/puppycrawl/tools/checkstyle/checks/javadoc/AtclauseOrderCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.javadoc.AtclauseOrderCheck#tagOrder",ok,compiles,9,13.2,ok,compiles,9,13.2
checkstyle-0094,checkstyle,com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocTagInfo.java,field,"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTagInfo#TEXT_TO_TAG",ok,compiles,1,13.5,ok,compiles,1,13.7
checkstyle-0095,checkstyle,com/puppycrawl/tools/checkstyle/filefilters/BeforeExecutionExclusionFileFilter.java,method,"com.puppycrawl.tools.checkstyle.filefilters.BeforeExecutionExclusionFileFilter#setFileNamePattern(Pattern)",ok,compiles,5,13.0,ok,compiles,5,13.3
checkstyle-0096,checkstyle,com/puppycrawl/tools/checkstyle/api/RootModule.java,method,"com.puppycrawl.tools.checkstyle.api.RootModule#destroy()",ok,compiles,2,10.2,ok,compiles,2,9.9
checkstyle-0097,checkstyle,com/puppycrawl/tools/checkstyle/checks/imports/ImportOrderCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck#getGroupNumber(Pattern[],String)",ok,compiles,7,13.3,ok,compiles,7,13.5
checkstyle-0098,checkstyle,com/puppycrawl/tools/checkstyle/checks/metrics/NPathComplexityCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.metrics.NPathComplexityCheck#countConditionalOperators(DetailAST)",ok,compiles,9,13.5,ok,compiles,9,13.4
checkstyle-0099,checkstyle,com/puppycrawl/tools/checkstyle/api/TokenTypes.java,field,"com.puppycrawl.tools.checkstyle.api.TokenTypes#LITERAL_SEALED",ok,compiles,2,11.6,ok,compiles,2,11.0
checkstyle-0100,checkstyle,com/puppycrawl/tools/checkstyle/checks/NumericalPrefixesInfixesSuffixesCharacterCaseCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.NumericalPrefixesInfixesSuffixesCharacterCaseCheck#visitToken(DetailAST)",ok,compiles,8,13.8,ok,compiles,8,13.4
checkstyle-0101,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/FallThroughCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck#isCommentNodesRequired()",ok,compiles,7,13.2,ok,compiles,7,13.9
checkstyle-0102,checkstyle,com/puppycrawl/tools/checkstyle/checks/javadoc/MissingJavadocMethodCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.javadoc.MissingJavadocMethodCheck#SETTER_PATTERN",ok,compiles,7,12.2,ok,compiles,7,13.2
checkstyle-0103,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/UnnecessarySemicolonInEnumerationCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.UnnecessarySemicolonInEnumerationCheck#getAcceptableTokens()",crash,na,0,10.8,crash,na,0,11.7
